Item ID,Item Name,Price
0,Splinter,1.89
1,Crucifer,3.67
2,Verdict,2.65
3,Phantomlight,4.15
4,Bloodlord's Fetish,1.91
5,Putrid Fan,2.63
6,Rusty Skull,3.58
7,"Thorn, Satchel of Dark Souls",3.22
8,"Purgatory, Gem of Regret",2.22
9,"Thorn, Conqueror of the Corrupted",1.42
10,Sleepwalker,1.81
11,Brimstone,1.63
12,Dawne,3.36
13,Serenity,2.73
14,Possessed Core,2.82
15,Soul Infused Crystal,4.45
16,Restored Bauble,2.15
17,"Lazarus, Terror of the Earth",1.96
18,"Torchlight, Bond of Storms",3.75
19,"Pursuit, Cudgel of Necromancy",3.76
20,Netherbane,3.44
21,Souleater,4.04
22,Amnesia,3.99
23,Crucifer,1.62
24,Warped Fetish,3.04
25,Hero Cane,4.78
26,Unholy Wand,2.62
27,"Riddle, Tribute of Ended Dreams",3.38
28,"Flux, Destroyer of Due Diligence",1.33
29,"Chaos, Ender of the End",2.75
30,Stormcaller,1.38
31,Trickster,4.59
32,Orenmir,2.57
33,Curved Axe,1.53
34,Retribution Axe,3.48
35,Heartless Bone Dualblade,1.73
36,Spectral Bone Axe,4.9
37,"Shadow Strike, Glory of Ending Hope",4.06
38,"The Void, Vengeance of Dark Magic",3.46
39,"Betrayal, Whisper of Grieving Widows",3.15
40,Second Chance,2.11
41,Orbit,3.85
42,The Decapitator,2.85
43,Foul Edge,3.12
44,Bonecarvin Battle Axe,4.36
45,Glinting Glass Edge,4.09
46,Hopeless Ebon Dualblade,2.34
47,"Alpha, Reach of Ending Hope",1.3
48,"Rage, Legacy of the Lone Victor",2.76
49,"The Oculus, Token of Lost Worlds",3.0
50,Dawn,1.28
51,Endbringer,4.02
52,Hatred,1.61
53,Vengeance Cleaver,4.32
54,Eternal Cleaver,4.32
55,Vindictive Glass Edge,2.29
56,Foul Titanium Battle Axe,1.43
57,"Despair, Favor of Due Diligence",1.77
58,"Freak's Bite, Favor of Holy Might",1.04
59,"Lightning, Etcher of the King",1.92
60,Wolf,2.7
61,Ragnarok,4.09
62,Piece Maker,3.32
63,Stormfury Mace,4.12
64,Fusion Pummel,2.42
65,Conqueror Adamantite Mace,3.81
66,Victor Iron Spikes,4.4
67,"Celeste, Incarnation of the Corrupted",3.1
68,"Storm-Weaver, Slayer of Inception",4.39
69,"Frenzy, Defender of the Harvest",3.95
70,Hope's End,4.28
71,Demise,3.09
72,Winter's Bite,3.93
73,Ritual Mace,3.73
74,Yearning Crusher,2.05
75,Brutality Ivory Warmace,4.97
76,Haunted Bronzed Bludgeon,4.38
77,"Piety, Guardian of Riddles",1.68
78,"Glimmer, Ender of the Moon",2.62
79,"Alpha, Oath of Zeal",1.31
80,Dreamsong,3.76
81,Dreamkiss,2.93
82,Nirvana,1.77
83,Lifebender,2.5
84,Arcane Gem,4.81
85,Malificent Bag,3.74
86,Stormfury Lantern,2.27
87,"Deluge, Edge of the West",2.81
88,"Emberling, Defender of Delusions",4.71
89,"Blazefury, Protector of Delusions",1.36
90,Betrayer,4.12
91,Celeste,2.92
92,Final Critic,2.92
93,Apocalyptic Battlescythe,4.49
94,Mourning Blade,3.64
95,Singed Onyx Warscythe,4.47
96,Blood-Forged Skeletal Spine,2.93
97,"Swan Song, Gouger Of Terror",1.92
98,"Deadline, Voice Of Subtlety",1.29
99,"Expiration, Warscythe Of Lost Worlds",4.84
100,Blindscythe,1.17
101,Final Critic,1.12
102,Avenger,3.86
103,Singed Scalpel,3.95
104,Gladiator's Glaive,1.84
105,Hailstorm Shadowsteel Scythe,1.02
106,Crying Steel Sickle,4.1
107,"Splitter, Foe Of Subtlety",4.15
108,"Extraction, Quickblade Of Trembling Hands",2.26
109,"Downfall, Scalpel Of The Emperor",3.9
110,Suspension,2.63
111,Misery's End,1.79
112,Worldbreaker,2.5
113,Solitude's Reaver,1.84
114,Yearning Mageblade,1.42
115,Spectral Diamond Doomblade,2.03
116,Renewed Skeletal Katana,1.09
117,"Heartstriker, Legacy of the Light",4.71
118,"Ghost Reaver, Longsword of Magic",2.95
119,"Stormbringer, Dark Blade of Ending Misery",1.96
120,Agatha,1.78
121,Massacre,1.92
122,Unending Tyranny,1.51
123,Twilight's Carver,2.55
124,Venom Claymore,1.72
125,Whistling Mithril Warblade,4.54
126,Exiled Mithril Longsword,1.08
127,"Heartseeker, Reaver of Souls",1.34
128,"Blazeguard, Reach of Eternity",2.33
129,"Fate, Vengeance of Eternal Justice",2.88
130,Alpha,4.25
131,Fury,2.99
132,Persuasion,1.94
133,Faith's Scimitar,4.94
134,Undead Crusader,2.15
135,Warped Diamond Crusader,2.29
136,Ghastly Adamantite Protector,4.81
137,"Aetherius, Boon of the Blessed",2.27
138,"Peacekeeper, Wit of Dark Magic",2.63
139,"Mercy, Katana of Dismay",4.25
140,Striker,1.02
141,Persuasion,4.84
142,Righteous Might,4.7
143,Frenzied Scimitar,1.87
144,Blood Infused Guardian,1.66
145,Fiery Glass Crusader,2.44
146,Warped Iron Scimitar,4.49
147,"Hellreaver, Heirloom of Inception",4.65
148,"Warmonger, Gift of Suffering's End",4.65
149,"Tranquility, Razor of Black Magic",3.73
150,Deathraze,2.31
151,Severance,1.77
152,Darkheart,2.35
153,Mercenary Sabre,1.38
154,Feral Katana,4.11
155,War-Forged Gold Deflector,4.04
156,Soul-Forged Steel Shortsword,4.53
157,"Spada, Etcher of Hatred",2.9
158,"Darkheart, Butcher of the Champion",1.94
159,"Oathbreaker, Spellblade of Trials",4.0
160,Azurewrath,1.8
161,Devine,1.75
162,Abyssal Shard,2.09
163,Thunderfury Scimitar,4.16
164,Exiled Doomblade,1.31
165,Bone Crushing Silver Skewer,1.49
166,Thirsty Iron Reaver,1.23
167,"Malice, Legacy of the Queen",3.25
168,"Sun Strike, Jaws of Twisted Visions",1.43
169,"Interrogator, Blood Blade of the Queen",1.5
170,Shadowsteel,1.74
171,Scalpel,4.69
172,Blade of the Grave,2.71
173,Stormfury Longsword,4.01
174,Primitive Blade,1.36
175,Woeful Adamantite Claymore,3.73
176,Relentless Iron Skewer,2.12
177,"Winterthorn, Defender of Shifting Worlds",1.05
178,"Oathbreaker, Last Hope of the Breaking Storm",1.99
179,"Wolf, Promise of the Moonwalker",1.62
180,Stormcaller,2.77
181,Reaper's Toll,4.12
182,Toothpick,4.16
183,Dragon's Greatsword,1.45
184,Windsong Sculptor,1.23
185,Bloodcursed Skeletal Protector,2.8
186,Warp Adamantite Deflector,4.68
187,"Venom, Shortsword of the Forest",3.49
188,"Ghost Reaver, Might of Delusions",4.47
189,"Nightbane, Voice of Storms",3.17
