Player ID,SN,Age,Gender
0,Marughi89,21,Male
1,Lirtedy26,40,Male
2,Chamistast30,7,Male
3,Lisirra25,24,Male
4,Lirtim36,23,Male
5,Undimsya85,17,Female
6,Lirtassa77,20,Female
7,Mindirra92,23,Male
8,Undirrasta89,23,Male
9,Iskjaskst81,15,Male
10,Yoishirrala98,22,Male
11,Undassa89,22,Male
12,Lisossanya98,22,Male
13,Lisirra87,7,Female
14,Ililsan66,7,Male
15,Lisosiast26,24,Male
16,Ilimya66,18,Male
17,Lisassa49,21,Female
18,Mindirraya69,25,Male
19,Lirtista72,21,Male
20,Sondassala75,27,Male
21,Iskelosda54,20,Male
22,Sundista85,31,Female
23,Lirtossa84,18,Male
24,Chanjasksda31,33,Male
25,Chamiman85,15,Male
26,Lisosia66,24,Male
27,Lisirra44,21,Male
28,Mindassast27,20,Male
29,Quilassa66,22,Female
30,Marilsasya33,25,Female
31,Lisossa63,24,Other / Non-Disclosed
32,Assim38,30,Male
33,Sondenasta63,34,Male
34,Chrathybust28,21,Male
35,Sondadar26,25,Male
36,Chanjaskan89,25,Male
37,Chamassast26,25,Female
38,Chadossa26,29,Male
39,Smecherdi88,21,Male
40,Chanjask65,24,Male
41,Chanassa48,24,Male
42,Mindosia50,25,Male
43,Sondassan80,23,Male
44,Iskim96,22,Male
45,Sondim73,17,Male
46,Ilosian36,25,Male
47,Iskadarya95,7,Male
48,Lisirra55,16,Male
49,Undotesta33,13,Male
50,Quaecjask96,24,Male
51,Ilosia88,30,Male
52,Iskosia45,24,Male
53,Lirtosia63,18,Male
54,Ililsasya43,34,Female
55,Sondassasya91,20,Female
56,Undista85,18,Male
57,Lisossa46,22,Male
58,Jiskossa61,20,Male
59,Lisastsya37,16,Other / Non-Disclosed
60,Ilogha82,20,Male
61,Lisast87,29,Female
62,Undory40,22,Male
63,Lisassa64,22,Male
64,Frichim77,23,Female
65,Chamossa77,25,Male
66,Jiskosiasya52,26,Female
67,Lassadarsda57,15,Female
68,Lassjaskan73,20,Male
69,Chanuchi25,28,Female
70,Jiskim75,36,Female
71,Iljask57,31,Female
72,Jiskimsda73,23,Male
73,Jiskjask60,20,Male
74,Undistasta86,24,Male
75,Ilossa39,35,Male
76,Frichossast91,16,Male
77,Sondistanya61,38,Male
78,Ilaststa70,22,Female
79,Assakuya57,16,Male
80,Lisossa25,9,Male
81,Lisovynya38,24,Male
82,Lisopela58,34,Female
83,Marilsanya48,20,Male
84,Chadadar38,29,Male
85,Marirraya39,22,Female
86,Lirtassan59,24,Male
87,Lisassasda39,22,Male
88,Frichaststa81,30,Male
89,Chadilsasta32,19,Female
90,Jiskjask76,21,Male
91,Chamadarsda63,20,Male
92,Chanirrasta87,25,Female
93,Marokian45,25,Male
94,Sundadar27,21,Male
95,Iskassa50,15,Male
96,Chamirra53,25,Male
97,Frichosiala98,28,Male
98,Chanosiaya39,15,Female
99,Lirtossa78,22,Female
100,Lirtastsya71,20,Male
101,Frichistast39,18,Male
102,Chamjask73,39,Female
103,Sundista37,26,Male
104,Lirtilsan89,26,Male
105,Lisosia93,24,Female
106,Sundastnya66,21,Male
107,Chadossa89,25,Male
108,Iskast78,20,Other / Non-Disclosed
109,Lisjaskan36,20,Male
110,Chadistaya75,31,Male
111,Chamucosda93,27,Male
112,Chadadarla74,21,Male
113,Iskosia51,22,Female
114,Frichistan93,13,Male
115,Jiskassan80,25,Male
116,Raysistast71,10,Male
117,Undosia27,25,Male
118,Jiskassa76,38,Male
119,Marirrasta30,40,Male
120,Lassista97,8,Male
121,Lirtastan49,25,Male
122,Sondimla25,23,Female
123,Sondjasknya45,29,Male
124,Undirrala66,25,Male
125,Ilast55,13,Male
126,Iskjaskan81,35,Male
127,Iljask75,30,Male
128,Lisast98,24,Male
129,Lisilsa68,25,Male
130,Lassilsala30,21,Male
131,Ilosia37,34,Female
132,Iskossan49,20,Male
133,Assistasda90,24,Male
134,Jiskimya77,20,Male
135,Sundilsast76,20,Male
136,Chadadarya31,20,Male
137,Iloni35,20,Male
138,Chanirra56,31,Female
139,Assassa81,21,Male
140,Chadirra90,23,Female
141,Undosiasya79,25,Male
142,Chadjask85,21,Male
143,Lisilsa62,21,Male
144,Sundassa93,15,Male
145,Lirtirra37,18,Female
146,Chadanto83,30,Male
147,Sondim43,23,Male
148,Chamassasya86,15,Male
149,Sondedust36,24,Female
150,Chanista95,23,Male
151,Assassa43,24,Male
152,Jiskjask80,26,Male
153,Marjask87,33,Male
154,Assistast50,23,Female
155,Lassim90,16,Male
156,Mindesi74,14,Male
157,Lisosia92,38,Male
158,Sundirrala66,23,Male
159,Ilimsda76,43,Male
160,Marilsa69,20,Female
161,Sondassa48,19,Male
162,Chamosia71,23,Male
163,Mindirranya33,26,Male
164,Chanastya70,24,Male
165,Iskosia90,14,Male
166,Sondim68,28,Male
167,Nourrimsda30,15,Male
168,Crausirra42,20,Male
169,Lirtjaskan85,7,Male
170,Jiskjask76,28,Male
171,Lisjasksda68,19,Male
172,Assjaskan73,25,Female
173,Jiskilsa35,26,Male
174,Lirtosia72,16,Male
175,Lisassa26,25,Male
176,Undadar97,25,Male
177,Jiskirran77,20,Female
178,Iladarla40,23,Female
179,Lisista54,11,Female
180,Chamista31,35,Male
181,Chanosiast43,27,Male
182,Lirtassa52,42,Female
183,Lassirrasda85,30,Female
184,Undirra73,22,Male
185,Sondassa68,24,Male
186,Sondilsa42,20,Male
187,Undilsa52,31,Male
188,Assylla81,20,Male
189,Koikirra25,25,Male
190,Lisirra58,11,Male
191,Jiskebosya95,22,Other / Non-Disclosed
192,Chadassasda60,22,Male
193,Jiskimsta59,10,Male
194,Lisimsta66,20,Male
195,Jiskossa51,23,Male
196,Sondadarya58,18,Male
197,Ilosiast59,28,Male
198,Chanossala89,19,Male
199,Frichistasta59,23,Male
200,Undast38,19,Male
201,Chamadar27,23,Female
202,Zhestim56,21,Female
203,Mindadaran26,20,Male
204,Mindista32,23,Male
205,Lisosia51,21,Female
206,Jiskadarst79,16,Male
207,Assjask64,19,Male
208,Lisirrast82,39,Male
209,Iskirra44,15,Female
210,Jiskosiala43,25,Male
211,Chaniman66,24,Male
212,Chanjaskan37,31,Male
213,Chamastya76,23,Male
214,Frichosiasya71,23,Male
215,Ilassast39,11,Female
216,Frichilsa31,20,Male
217,Maridisya31,22,Male
218,Jiskilsa93,25,Male
219,Sondirra83,19,Male
220,Sundilsa62,20,Male
221,Lisassa39,24,Female
222,Iskistasda86,9,Male
223,Cosadar58,29,Male
224,Bartassaya73,20,Female
225,Assesi91,17,Male
226,Frichaststa61,30,Male
227,Ilista82,22,Male
228,Chadjask77,17,Male
229,Chadossa38,34,Male
230,Marassa62,22,Male
231,Undosian34,30,Female
232,Sweecossa42,16,Male
233,Frichosia58,19,Male
234,Assosia88,22,Male
235,Chanastnya43,24,Male
236,Sondastsda82,8,Female
237,Frichocesta66,45,Male
238,Narirra38,8,Male
239,Assim27,24,Male
240,Frichossast75,34,Male
241,Jiskjask85,26,Male
242,Iskirra45,24,Male
243,Chadista79,24,Male
